league,season,team,player,nation,position,age,born_year,90s,goals,shoots,shoots_on_target,perc_shoots_on_target,shoots_90s,shoots_on_target_90s,goals_over_shoots,goals_over_shoots_on_target,average_shot_distance,shoots_free_kicks,penalties_scored,penalties_attempted,xG,no_penalty_xG,no_penalty_xg_over_shoots,goals_xG_difference,no_penalties_goals_xG_difference
Ligue 1,2425,Le Havre,Timothee Pembele,FRA,DF,22,2002.0,12.4,1,8,3,37.5,0.65,0.24,0.13,0.33,13.7,0,0,0,1.3,1.3,0.16,-0.3,-0.3
Ligue 1,2425,Le Havre,Yanis Zouaoui,ALG,"DF,FW",30,1994.0,10.8,0,5,2,40.0,0.46,0.18,0.0,0.0,28.6,2,0,0,0.1,0.1,0.03,-0.1,-0.1
Ligue 1,2425,Le Havre,Yassine Kechta,MAR,"MF,FW",23,2002.0,23.3,2,29,9,31.0,1.25,0.39,0.07,0.22,25.7,2,0,0,2.5,2.5,0.09,-0.5,-0.5
Ligue 1,2425,Le Havre,Yoann Salmier,GUF,DF,32,1992.0,8.9,0,5,2,40.0,0.56,0.23,0.0,0.0,9.8,0,0,0,0.8,0.8,0.17,-0.8,-0.8
Ligue 1,2425,Lens,Abdukodir Khusanov,UZB,DF,21,2004.0,10.8,0,6,4,66.7,0.55,0.37,0.0,0.0,24.6,2,0,0,0.2,0.2,0.04,-0.2,-0.2
Ligue 1,2425,Lens,Adrien Thomasson,FRA,MF,31,1993.0,29.1,3,41,11,26.8,1.41,0.38,0.07,0.27,14.3,0,0,0,5.9,5.9,0.15,-2.9,-2.9
Ligue 1,2425,Lens,Anass Zaroury,MAR,"FW,MF",24,2000.0,15.6,2,35,12,34.3,2.24,0.77,0.06,0.17,22.4,0,0,0,1.7,1.7,0.05,0.3,0.3
Ligue 1,2425,Lens,Andy Diouf,FRA,MF,22,2003.0,24.7,1,40,5,12.5,1.62,0.2,0.03,0.2,20.0,0,0,0,2.9,2.9,0.07,-1.9,-1.9
Ligue 1,2425,Lens,Angelo Fulgini,FRA,"MF,FW",28,1996.0,11.6,1,26,9,34.6,2.24,0.78,0.04,0.11,17.9,2,0,0,2.4,2.4,0.09,-1.4,-1.4
Ligue 1,2425,Lens,Brice Samba,FRA,GK,31,1994.0,15.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Lens,David Costa,POR,"MF,FW",24,2001.0,3.9,0,9,2,22.2,2.3,0.51,0.0,0.0,18.0,0,0,0,1.2,1.2,0.13,-1.2,-1.2
Ligue 1,2425,Lens,Deiver Machado,COL,"DF,MF",31,1993.0,20.1,1,23,5,21.7,1.15,0.25,0.04,0.2,19.2,1,0,0,2.3,2.3,0.1,-1.3,-1.3
Ligue 1,2425,Lens,Facundo Medina,ARG,DF,25,1999.0,28.3,0,27,3,11.1,0.96,0.11,0.0,0.0,18.3,0,0,0,1.8,1.8,0.07,-1.8,-1.8
Ligue 1,2425,Lens,Florian Sotoca,FRA,"FW,MF",34,1990.0,19.9,1,47,18,38.3,2.36,0.9,0.02,0.06,14.7,0,0,0,4.6,4.6,0.1,-3.6,-3.6
Ligue 1,2425,Lens,Gabin Capuano,FRA,FW,19,2006.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Lens,Goduine Koyalipou,CTA,FW,25,2000.0,9.8,4,42,14,33.3,4.27,1.42,0.1,0.29,14.3,0,0,0,4.8,4.8,0.12,-0.8,-0.8
Ligue 1,2425,Lens,Hamzat Ojediran,NGA,"MF,FW",21,2003.0,4.6,1,10,3,30.0,2.16,0.65,0.1,0.33,22.1,0,0,0,0.6,0.6,0.06,0.4,0.4
Ligue 1,2425,Lens,Hervé Koffi,BFA,GK,28,1996.0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Lens,Jeremy Agbonifo,SWE,"FW,MF",19,2005.0,3.3,1,6,4,66.7,1.8,1.2,0.17,0.25,14.1,0,0,0,0.7,0.7,0.11,0.3,0.3
Ligue 1,2425,Lens,Jhoanner Chávez,ECU,"DF,MF",23,2002.0,6.6,1,5,3,60.0,0.76,0.45,0.2,0.33,16.4,0,0,0,0.3,0.3,0.06,0.7,0.7
Ligue 1,2425,Lens,Jonathan Gradit,FRA,DF,32,1992.0,23.5,0,16,4,25.0,0.68,0.17,0.0,0.0,17.4,0,0,0,0.8,0.8,0.05,-0.8,-0.8
Ligue 1,2425,Lens,Juma Bah,SLE,DF,19,2006.0,7.6,0,2,1,50.0,0.26,0.13,0.0,0.0,10.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Ligue 1,2425,Lens,Kembo Diliwidi,FRA,DF,19,2006.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Lens,Kevin Danso,AUT,DF,26,1998.0,12.0,0,10,2,20.0,0.83,0.17,0.0,0.0,13.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5
Ligue 1,2425,Lens,Kyllian Antonio,FRA,"DF,MF",17,2008.0,1.5,0,1,0,0.0,0.65,0.0,0.0,0.0,18.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Ligue 1,2425,Lens,M'Bala Nzola,ANG,FW,28,1996.0,16.2,6,47,18,38.3,2.9,1.11,0.13,0.33,12.1,0,0,0,8.6,8.6,0.19,-2.6,-2.6
Ligue 1,2425,Lens,Malang Sarr,FRA,DF,26,1999.0,15.4,0,6,1,16.7,0.39,0.06,0.0,0.0,16.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Ligue 1,2425,Lens,Martin Satriano,URU,"FW,DF",24,2001.0,1.0,0,5,0,0.0,5.11,0.0,0.0,0.0,13.1,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Ligue 1,2425,Lens,Mathew Ryan,AUS,GK,33,1992.0,14.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Lens,Nampalys Mendy,SEN,MF,32,1992.0,6.5,0,3,0,0.0,0.46,0.0,0.0,0.0,23.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Ligue 1,2425,Lens,Neil El Aynaoui,FRA,MF,23,2001.0,17.6,8,16,7,43.8,0.91,0.4,0.31,0.71,20.4,1,3,3,4.0,1.6,0.1,4.0,3.4
Ligue 1,2425,Lens,Przemysław Frankowski,POL,DF,30,1995.0,15.4,4,14,5,35.7,0.91,0.32,0.14,0.4,21.9,1,2,2,2.3,0.7,0.05,1.7,1.3
Ligue 1,2425,Lens,Rayan Fofana,FRA,"FW,MF",19,2006.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Lens,Ruben Aguilar,FRA,"DF,MF",32,1993.0,12.5,1,11,3,27.3,0.88,0.24,0.09,0.33,16.0,0,0,0,0.8,0.8,0.07,0.2,0.2
Ligue 1,2425,Lens,Rémy Labeau Lascary,GLP,"FW,MF",22,2003.0,7.1,2,14,5,35.7,1.98,0.71,0.14,0.4,13.2,0,0,0,2.5,2.5,0.18,-0.5,-0.5
Ligue 1,2425,Lens,Tom Pouilly,FRA,"DF,MF",21,2003.0,3.0,0,5,2,40.0,1.65,0.66,0.0,0.0,18.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Ligue 1,2425,Lens,Wesley Saïd,FRA,FW,30,1995.0,10.1,3,17,7,41.2,1.69,0.7,0.18,0.43,11.2,0,0,0,3.2,3.2,0.19,-0.2,-0.2
Ligue 1,2425,Lille,Aaron Malouda,FRA,FW,19,2005.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Lille,Alexsandro Ribeiro,BRA,DF,25,1999.0,30.0,1,21,4,19.0,0.7,0.13,0.05,0.25,10.3,0,0,0,1.6,1.6,0.08,-0.6,-0.6
Ligue 1,2425,Lille,André Gomes,POR,MF,31,1993.0,14.2,0,11,3,27.3,0.78,0.21,0.0,0.0,24.5,1,0,0,0.5,0.5,0.05,-0.5,-0.5
Ligue 1,2425,Lille,Angel Gomes,ENG,MF,24,2000.0,8.2,1,8,2,25.0,0.98,0.24,0.13,0.5,21.8,2,0,1,1.7,0.9,0.11,-0.7,0.1
Ligue 1,2425,Lille,Ayyoub Bouaddi,FRA,MF,17,2007.0,12.8,0,3,1,33.3,0.23,0.08,0.0,0.0,19.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Ligue 1,2425,Lille,Aïssa Mandi,ALG,DF,33,1991.0,19.3,0,6,2,33.3,0.31,0.1,0.0,0.0,9.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Ligue 1,2425,Lille,Bafodé Diakité,FRA,DF,24,2001.0,30.7,4,16,7,43.8,0.52,0.23,0.25,0.57,8.3,0,0,0,2.3,2.3,0.15,1.7,1.7
Ligue 1,2425,Lille,Benjamin André,FRA,MF,34,1990.0,29.9,0,16,4,25.0,0.53,0.13,0.0,0.0,15.6,0,0,0,1.4,1.4,0.09,-1.4,-1.4
Ligue 1,2425,Lille,Chuba Akpom,ENG,FW,29,1995.0,7.1,3,18,9,50.0,2.54,1.27,0.11,0.22,13.2,0,1,2,5.0,3.4,0.19,-2.0,-1.4
Ligue 1,2425,Lille,Edon Zhegrova,KVX,"FW,MF",26,1999.0,10.9,4,23,9,39.1,2.12,0.83,0.17,0.44,22.2,2,0,0,2.3,2.3,0.1,1.7,1.7
Ligue 1,2425,Lille,Ethan Mbappé,FRA,"MF,FW",18,2006.0,2.5,0,11,4,36.4,4.46,1.62,0.0,0.0,18.1,0,0,0,1.1,1.1,0.1,-1.1,-1.1
Ligue 1,2425,Lille,Gabriel Gudmundsson,SWE,DF,26,1999.0,19.8,2,18,5,27.8,0.91,0.25,0.11,0.4,18.8,0,0,0,0.7,0.7,0.04,1.3,1.3
Ligue 1,2425,Lille,Hákon Arnar Haraldsson,ISL,"MF,FW",22,2003.0,19.5,5,35,13,37.1,1.79,0.67,0.14,0.38,17.1,2,0,0,3.8,3.8,0.11,1.2,1.2
Ligue 1,2425,Lille,Ismaily,BRA,DF,35,1990.0,10.0,0,10,4,40.0,1.0,0.4,0.0,0.0,18.5,0,0,0,0.7,0.7,0.07,-0.7,-0.7
Ligue 1,2425,Lille,Jonathan David,CAN,FW,25,2000.0,28.4,16,66,28,42.4,2.33,0.99,0.15,0.36,15.3,0,6,7,16.2,10.7,0.16,-0.2,-0.7
Ligue 1,2425,Lille,Lucas Chevalier,FRA,GK,23,2001.0,34.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Lille,Matias Fernandez-Pardo,BEL,"FW,MF",20,2005.0,11.8,4,23,12,52.2,1.94,1.01,0.17,0.33,17.8,0,0,0,2.9,2.9,0.12,1.1,1.1
Ligue 1,2425,Lille,Mitchel Bakker,NED,"FW,DF",24,2000.0,12.7,3,23,10,43.5,1.82,0.79,0.13,0.3,18.9,5,0,0,3.0,3.0,0.13,0.0,0.0
Ligue 1,2425,Lille,Mohamed Lamine Bayo,GUI,FW,26,1998.0,3.4,2,10,4,40.0,2.91,1.17,0.2,0.5,12.2,0,0,0,2.2,2.2,0.22,-0.2,-0.2
Ligue 1,2425,Lille,Nabil Bentaleb,ALG,MF,30,1994.0,3.7,1,5,1,20.0,1.37,0.27,0.2,1.0,24.8,2,0,0,0.7,0.7,0.15,0.3,0.3
Ligue 1,2425,Lille,Ngal'Ayel Mukau,COD,MF,20,2004.0,13.2,0,11,2,18.2,0.83,0.15,0.0,0.0,22.3,0,0,0,0.8,0.8,0.07,-0.8,-0.8
Ligue 1,2425,Lille,Osame Sahraoui,MAR,"FW,MF",23,2001.0,14.4,3,23,8,34.8,1.6,0.56,0.13,0.38,15.6,0,0,0,2.9,2.9,0.13,0.1,0.1
Ligue 1,2425,Lille,Ousmane Toure,FRA,DF,20,2005.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Lille,Rémy Cabella,FRA,"FW,MF",35,1990.0,11.2,1,30,7,23.3,2.67,0.62,0.03,0.14,14.7,1,0,0,4.0,4.0,0.13,-3.0,-3.0
Ligue 1,2425,Lille,Thomas Meunier,BEL,DF,33,1991.0,21.4,2,28,11,39.3,1.31,0.51,0.07,0.18,16.6,0,0,0,1.9,1.9,0.07,0.1,0.1
Ligue 1,2425,Lille,Tiago Santos,POR,DF,22,2002.0,4.5,0,8,4,50.0,1.78,0.89,0.0,0.0,20.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Ligue 1,2425,Lille,Younes Lachaab,FRA,"MF,FW",20,2005.0,0.1,0,1,0,0.0,10.0,0.0,0.0,0.0,23.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1
Ligue 1,2425,Lyon,Abner,BRA,DF,24,2000.0,12.1,1,7,3,42.9,0.58,0.25,0.14,0.33,17.7,0,0,0,0.6,0.6,0.08,0.4,0.4
Ligue 1,2425,Lyon,Adryelson,BRA,DF,27,1998.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Lyon,Ainsley Maitland-Niles,ENG,DF,27,1997.0,22.1,1,22,7,31.8,1.0,0.32,0.05,0.14,16.0,0,0,0,2.9,2.9,0.13,-1.9,-1.9
Ligue 1,2425,Lyon,Alejandro Rodriguez,POR,MF,17,2008.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Lyon,Alexandre Lacazette,FRA,FW,33,1991.0,22.8,15,53,31,58.5,2.33,1.36,0.19,0.32,13.5,1,5,6,16.3,11.7,0.22,-1.3,-1.7
Ligue 1,2425,Lyon,Clinton Mata,ANG,DF,32,1992.0,26.3,0,5,0,0.0,0.19,0.0,0.0,0.0,21.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Ligue 1,2425,Lyon,Corentin Tolisso,FRA,MF,30,1994.0,25.9,7,51,18,35.3,1.97,0.7,0.14,0.39,16.4,0,0,0,5.3,5.3,0.1,1.7,1.7
Ligue 1,2425,Lyon,Duje Ćaleta-Car,CRO,DF,28,1996.0,17.6,1,11,1,9.1,0.62,0.06,0.09,1.0,9.8,0,0,0,2.1,2.1,0.19,-1.1,-1.1
Ligue 1,2425,Lyon,Ernest Nuamah,GHA,"FW,MF",21,2003.0,11.7,3,28,13,46.4,2.4,1.11,0.11,0.23,17.3,0,0,0,2.2,2.2,0.08,0.8,0.8
Ligue 1,2425,Lyon,Georges Mikautadze,GEO,FW,24,2000.0,16.1,11,52,22,42.3,3.23,1.37,0.15,0.36,14.1,0,3,4,10.3,7.0,0.14,0.7,1.0
Ligue 1,2425,Lyon,Gift Orban,NGA,"FW,DF",22,2002.0,2.1,2,4,3,75.0,1.94,1.45,0.5,0.67,8.7,0,0,0,1.2,1.2,0.3,0.8,0.8
Ligue 1,2425,Lyon,Jordan Veretout,FRA,MF,32,1993.0,17.3,2,21,9,42.9,1.22,0.52,0.1,0.22,18.5,0,0,0,1.9,1.9,0.09,0.1,0.1
Ligue 1,2425,Lyon,Lucas Perri,BRA,GK,27,1997.0,33.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Lyon,Mahamadou Diawara,FRA,MF,20,2005.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Lyon,Malick Fofana,BEL,FW,20,2005.0,17.7,5,31,15,48.4,1.76,0.85,0.16,0.33,15.0,0,0,0,3.8,3.8,0.12,1.2,1.2
Ligue 1,2425,Lyon,Mama Samba Baldé,GNB,FW,29,1995.0,0.4,0,1,0,0.0,2.73,0.0,0.0,0.0,8.7,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Ligue 1,2425,Lyon,Maxence Caqueret,FRA,MF,25,2000.0,6.4,0,7,1,14.3,1.1,0.16,0.0,0.0,21.8,0,0,0,0.7,0.7,0.09,-0.7,-0.7
Ligue 1,2425,Lyon,Moussa Niakhate,SEN,DF,29,1996.0,30.3,0,2,1,50.0,0.07,0.03,0.0,0.0,7.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Ligue 1,2425,Lyon,Nemanja Matić,SRB,MF,36,1988.0,22.3,0,2,1,50.0,0.09,0.04,0.0,0.0,14.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Ligue 1,2425,Lyon,Nicolás Tagliafico,ARG,DF,32,1992.0,21.1,3,28,7,25.0,1.32,0.33,0.11,0.43,14.2,0,0,0,3.0,3.0,0.11,0.0,0.0
Ligue 1,2425,Lyon,Orel Mangala,BEL,MF,27,1998.0,0.7,0,1,0,0.0,1.34,0.0,0.0,0.0,21.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Ligue 1,2425,Lyon,Paul Akouokou,CIV,MF,27,1997.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Lyon,Rayan Cherki,FRA,"FW,MF",21,2003.0,22.7,8,45,19,42.2,1.98,0.84,0.18,0.42,16.8,3,0,0,5.0,5.0,0.11,3.0,3.0
Ligue 1,2425,Lyon,Rémy Descamps,FRA,GK,28,1996.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Lyon,Sael Kumbedi,FRA,DF,20,2005.0,10.6,0,4,2,50.0,0.38,0.19,0.0,0.0,14.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Ligue 1,2425,Lyon,Saïd Benrahma,ALG,"FW,MF",29,1995.0,8.2,1,17,4,23.5,2.08,0.49,0.06,0.25,20.2,1,0,0,2.0,2.0,0.12,-1.0,-1.0
Ligue 1,2425,Lyon,Tanner Tessmann,USA,MF,23,2001.0,13.7,1,18,10,55.6,1.31,0.73,0.06,0.1,22.2,0,0,0,1.0,1.0,0.05,0.0,0.0
Ligue 1,2425,Lyon,Thiago Almada,ARG,"MF,FW",24,2001.0,10.6,1,23,5,21.7,2.18,0.47,0.04,0.2,20.5,1,0,0,2.0,2.0,0.09,-1.0,-1.0
Ligue 1,2425,Lyon,Téo Barisic,FRA,DF,20,2004.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Lyon,Warmed Omari,COM,DF,25,2000.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Lyon,Wilfried Zaha,CIV,FW,32,1992.0,0.8,0,1,1,100.0,1.23,1.23,0.0,0.0,17.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Ligue 1,2425,Marseille,Adrien Rabiot,FRA,MF,30,1995.0,27.6,9,48,22,45.8,1.74,0.8,0.19,0.41,13.2,0,0,0,7.3,7.3,0.15,1.7,1.7
Ligue 1,2425,Marseille,Amar Dedić,BIH,DF,22,2002.0,3.5,0,6,2,33.3,1.72,0.57,0.0,0.0,18.3,0,0,0,0.9,0.9,0.15,-0.9,-0.9
Ligue 1,2425,Marseille,Amine Gouiri,ALG,"FW,MF",25,2000.0,11.6,10,51,24,47.1,4.38,2.06,0.2,0.42,15.2,1,0,0,8.4,8.4,0.17,1.6,1.6
Ligue 1,2425,Marseille,Amine Harit,MAR,MF,27,1997.0,5.8,2,8,5,62.5,1.39,0.87,0.25,0.4,19.1,1,0,0,0.8,0.8,0.1,1.2,1.2
Ligue 1,2425,Marseille,Bamo Meïté,CIV,DF,23,2001.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Marseille,Bilal Nadir,MAR,MF,21,2003.0,4.3,1,8,3,37.5,1.88,0.7,0.13,0.33,18.4,1,0,0,0.6,0.6,0.07,0.4,0.4
Ligue 1,2425,Marseille,Darryl Bakola,FRA,"DF,MF",17,2007.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Marseille,Derek Cornelius,CAN,DF,27,1997.0,15.8,0,9,1,11.1,0.57,0.06,0.0,0.0,11.8,0,0,0,0.9,0.9,0.1,-0.9,-0.9
Ligue 1,2425,Marseille,Elye Wahi,FRA,FW,22,2003.0,6.4,3,16,9,56.3,2.51,1.41,0.13,0.22,12.1,0,1,1,6.0,5.2,0.33,-3.0,-3.2
Ligue 1,2425,Marseille,Emmanuel Koum Mbondo,FRA,DF,19,2006.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Marseille,Enzo Sternal,FRA,"FW,MF",17,2007.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Marseille,Faris Pemi Moumbagna,CMR,FW,24,2000.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Marseille,Geoffrey Kondogbia,CTA,"DF,MF",32,1993.0,22.4,0,8,1,12.5,0.36,0.04,0.0,0.0,13.4,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Ligue 1,2425,Marseille,Gerónimo Rulli,ARG,GK,33,1992.0,34.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Marseille,Ismaël Bennacer,ALG,MF,27,1997.0,7.2,0,3,0,0.0,0.42,0.0,0.0,0.0,24.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Ligue 1,2425,Marseille,Ismaël Koné,CAN,"MF,FW",22,2002.0,4.0,0,4,0,0.0,1.0,0.0,0.0,0.0,22.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Ligue 1,2425,Marseille,Jon Rowe,ENG,"FW,MF",22,2003.0,9.0,3,36,15,41.7,4.01,1.67,0.08,0.2,16.8,0,0,0,3.5,3.5,0.1,-0.5,-0.5
Ligue 1,2425,Marseille,Keyliane Abdallah,FRA,FW,19,2006.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Marseille,Leonardo Balerdi,ARG,DF,26,1999.0,25.3,0,15,1,6.7,0.59,0.04,0.0,0.0,17.1,0,0,0,0.9,0.9,0.06,-0.9,-0.9
Ligue 1,2425,Marseille,Lilian Brassier,FRA,DF,25,1999.0,8.7,0,5,1,20.0,0.58,0.12,0.0,0.0,11.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Ligue 1,2425,Marseille,Luis Henrique,BRA,"DF,FW",23,2001.0,29.0,7,30,14,46.7,1.03,0.48,0.23,0.5,14.6,0,0,0,4.2,4.2,0.14,2.8,2.8
Ligue 1,2425,Marseille,Luiz Felipe,ITA,DF,28,1997.0,1.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Marseille,Mason Greenwood,ENG,"FW,MF",23,2001.0,31.2,21,111,45,40.5,3.56,1.44,0.13,0.31,19.8,3,7,9,16.3,9.1,0.08,4.7,4.9
Ligue 1,2425,Marseille,Michael Amir Murillo,PAN,DF,29,1996.0,27.1,1,13,4,30.8,0.48,0.15,0.08,0.25,18.8,2,0,0,1.5,1.5,0.12,-0.5,-0.5
Ligue 1,2425,Marseille,Neal Maupay,FRA,FW,28,1996.0,11.6,4,19,10,52.6,1.64,0.86,0.21,0.4,10.6,0,0,0,4.1,4.1,0.22,-0.1,-0.1
Ligue 1,2425,Marseille,Pierre Højbjerg,DEN,MF,29,1995.0,29.6,2,33,8,24.2,1.11,0.27,0.06,0.25,18.9,7,0,0,3.3,3.3,0.1,-1.3,-1.3
Ligue 1,2425,Marseille,Pol Lirola,ESP,DF,27,1997.0,7.6,1,6,1,16.7,0.79,0.13,0.17,1.0,17.0,0,0,0,0.6,0.6,0.1,0.4,0.4
Ligue 1,2425,Marseille,Quentin Merlin,FRA,DF,23,2002.0,17.7,1,26,9,34.6,1.47,0.51,0.04,0.11,16.9,0,0,0,2.1,2.1,0.08,-1.1,-1.1
Ligue 1,2425,Marseille,Robinio Vaz,FRA,FW,18,2007.0,0.8,0,2,0,0.0,2.4,0.0,0.0,0.0,9.7,0,0,0,0.5,0.5,0.25,-0.5,-0.5
Ligue 1,2425,Marseille,Ulisses Garcia,SUI,DF,29,1996.0,10.3,2,8,2,25.0,0.77,0.19,0.25,1.0,14.2,0,0,0,1.5,1.5,0.19,0.5,0.5
Ligue 1,2425,Marseille,Valentin Carboni,ARG,"MF,FW",20,2005.0,1.1,0,2,1,50.0,1.75,0.87,0.0,0.0,21.4,0,0,0,0.0,0.0,0.02,0.0,0.0
Ligue 1,2425,Marseille,Valentin Rongier,FRA,"MF,DF",30,1994.0,17.4,3,14,7,50.0,0.81,0.4,0.21,0.43,21.6,0,0,0,1.0,1.0,0.07,2.0,2.0
Ligue 1,2425,Monaco,Aleksandr Golovin,RUS,"MF,FW",28,1996.0,12.8,3,24,9,37.5,1.87,0.7,0.13,0.33,21.4,0,0,0,2.3,2.3,0.1,0.7,0.7
Ligue 1,2425,Monaco,Almoatasem Al Musrati,LBY,MF,29,1996.0,4.3,1,11,3,27.3,2.56,0.7,0.09,0.33,18.4,0,0,0,0.5,0.5,0.04,0.5,0.5
Ligue 1,2425,Monaco,Breel Embolo,SUI,"FW,MF",28,1997.0,20.5,6,51,18,35.3,2.49,0.88,0.12,0.33,10.8,0,0,0,10.8,10.8,0.21,-4.8,-4.8
Ligue 1,2425,Monaco,Caio Henrique Oliveira Silva,BRA,DF,27,1997.0,21.4,0,4,1,25.0,0.19,0.05,0.0,0.0,22.3,2,0,0,0.2,0.2,0.04,-0.2,-0.2
Ligue 1,2425,Monaco,Christian Mawissa,FRA,DF,20,2005.0,16.7,0,1,1,100.0,0.06,0.06,0.0,0.0,13.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Ligue 1,2425,Monaco,Denis Zakaria,SUI,MF,28,1996.0,23.8,6,29,9,31.0,1.22,0.38,0.14,0.44,18.0,0,2,2,5.2,3.6,0.12,0.8,0.4
Ligue 1,2425,Monaco,Eliesse Ben Seghir,MAR,"MF,FW",20,2005.0,19.4,6,58,19,32.8,2.98,0.98,0.07,0.21,20.9,3,2,2,5.5,4.1,0.07,0.5,-0.1
Ligue 1,2425,Monaco,Eliot Matazo,BEL,MF,23,2002.0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue 1,2425,Monaco,Folarin Balogun,USA,FW,23,2001.0,6.8,4,31,10,32.3,4.54,1.46,0.13,0.4,13.3,0,0,0,4.8,4.8,0.15,-0.8,-0.8
Ligue 1,2425,Monaco,George Ilenikhena,FRA,FW,18,2006.0,8.0,3,21,9,42.9,2.64,1.13,0.14,0.33,13.5,0,0,0,5.1,5.1,0.24,-2.1,-2.1
